"scope","path","size_bytes","sha256"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_4/prediction_metadata.json","1938","9c699857cae90684a31b78a6ea85ef87739985b4c70d95f61406214b94263d85"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_4/predictions_dev.csv","2919488","86d4c96ca950dc414c917e95cf81fc69f534d55bc0f65b22ddcebdcbd193bb41"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_4/rfe_selection_trace.csv","3959","7b6a6304a1eba7ba476f697b1205e57b7e386840374a8adb34aed008c2ce6aba"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_4/selected_features.csv","575","d7232d6375909b537c3d7428d7f91eec0cfec1edd5cfd9e50ff5935d0432c09c"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_4/voter_rankings.csv","736335","237d5b9289769249422a3f943451a72f5fed5a8d6f948dda6498b5a1b4322f73"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_5/aggregate_ranking.csv","93484","f93e44678cb2b24c1df23544372edb5b7b62dd16ee9ef7dd200545b1d0895eb1"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_5/candidate_features.csv","2838","94744e9c6c841c5402da14a2dbad94172ac7f47f50be70d9364175bae8f46878"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_5/effective_model_config.json","1568","549c1e8e9d4009441ff2633ccea3e7573473553bd292fb3b01b7967d501c75cf"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_5/prediction_metadata.json","1938","32a426cccffcbd9d852cf15ae2fb5a58a54cea1e849dc114ac563febe24202f6"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_5/predictions_dev.csv","2855866","9797c1e887fac87df739e059e2e6ee8fb31faaee94049469e17c28cf8217b3b4"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_5/rfe_selection_trace.csv","3938","657f90031fba99a6a33606200fd03629de4bbd667aead7f21145ad40ffea5dfa"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_5/selected_features.csv","551","b84b3a80a4411c100c11121c6bd96076957208882752e7156e881646dcd59b58"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_5/voter_rankings.csv","736299","7f18ce5f0a9ec2973abd8228f1e07e7f8fc671323467535623c24a7ce85d9f7f"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/manifest.json","9319","33347f77bd6ff8714a8edaab3cce90ddd057e500af2bde3a397ea011c163b2e7"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/preflight.json","4808","1e99308a69679af64d52003b4ec112eff20f407a279eccd242eeab3d5ab0c5e6"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/resource_usage.json","2093571","f8b8322f42415fb4e135d88423d11a855d49ceb43f6d4b6a61b39b86df9faaa3"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/results/dev_fold_metrics.csv","1500","be2bb2ce0e31fae10e0b2bc56deee5123c21e8d8d485b433decdc3d9abd07009"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/results/dev_prediction_metadata.json","2048","f0d6b9f1f2737fa2e4f3fc6c8e1b444d80e5b6c2926d03ccbc982c3306b8312e"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/results/dev_predictions.csv","14729088","4944809077fca72fd70386a7ce6faf5afbeab72650d847da5af7d6f3f3992a65"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/run.log","5377","da4c1f6978514138bdd6d5ac999acb6842aedfe9d4465cb76ed3ac4715a86b60"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/run_manifest.json","9319","33347f77bd6ff8714a8edaab3cce90ddd057e500af2bde3a397ea011c163b2e7"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/checkpoint.json","59105","aa4a29440f8f5d7068974f62cd024f701214fc057ee48437df9ce3d98a969e7c"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/config.json","1730","66e0a485f04ed999dc9cb72625d4efc9645f102a45b185af211eca51c769aebb"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/data_access_dev.json","9866","6bc03e5485eccb76e15d3d57d7bf558073fdd9deec487afae9062d8ba74366d9"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/features/feature_stability_metrics.csv","112","5d434179ad82fb9f7e9b4892fe7702c2235cf7fd9e294be53114bec5531e3d78"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/features/fold_selected_features.csv","2633","767562722bf08a6af8e3c627f325ed6e13f9dda22b24355f473327c3bfbe2bd6"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/folds/fold_1/aggregate_ranking.csv","93419","221387c1a1c9e71a3a4933e016884c33ef5af3ae40ecfb6dd31d5995f60553f7"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/folds/fold_1/candidate_features.csv","5938","6612ca97ff305c70a16d5d17aca5eaa33a050eac7112b21c7d3b3d78e5a6ff30"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/folds/fold_1/effective_model_config.json","1568","43fb73f4227b6db7113faab6fad0392a6af6a9eeb68bca24b20f08d611540c52"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/folds/fold_1/prediction_metadata.json","1938","3c2bf0b9b990fd059ded37fc973d5146ad5a6612e7242883f53a64f3491e2d3c"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/folds/fold_1/predictions_dev.csv","2936808","3b8a680b799763733b08cbe02c0676b0531a4666e79718d49388aebb88ec21d3"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/folds/fold_1/rfe_selection_trace.csv","8238","e4848fd9ca091b3dc7556afd0aae0daad9dd7713ae9da804c0cb3a069dfb0f84"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/folds/fold_1/selected_features.csv","569","807106c2814b61b79429ca909969256fe502606180b814ea37162a4b77390a6b"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/folds/fold_1/voter_rankings.csv","736095","5a9f575b6c57d45d77affae05be481c987a23b64d8e933b56787ae9ef7a1843d"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/folds/fold_2/aggregate_ranking.csv","93361","9d27b0341d73a480950d31f33d2262fbb65d33050a3b0551519d4f6b011e26cf"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/folds/fold_2/candidate_features.csv","5888","fd0f5798fde2f2d3fd38cdffeb1718ab7c4a35f60728be7463b005e10f8b61b8"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/folds/fold_2/effective_model_config.json","1568","43fb73f4227b6db7113faab6fad0392a6af6a9eeb68bca24b20f08d611540c52"
"canonical_results","./results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/folds/fold_2/prediction_metadata.json","1938","2324c70e16dbb68cf81401af3e8436c73d7fac757d464dc8e3641987d5695225"
