run_id,dataset,model,method_id,split,metric,stored_value,recomputed_value,absolute_difference,tolerance,status
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,oot,lift_at_10,3.447590895482897,3.4475908954828975,4.440892098500626e-16,1e-12,pass
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,dev,auc,0.7044234762911905,0.7044234762911905,0.0,1e-12,pass
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,dev,gini,0.408846952582381,0.408846952582381,0.0,1e-12,pass
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,dev,ks,0.2981961113325539,0.2981961113325538,1.1102230246251565e-16,1e-12,pass
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,dev,log_loss,0.6263595481224725,0.6263595481224725,0.0,1e-12,pass
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,dev,brier,0.2178745828561832,0.21787458285618327,8.326672684688674e-17,1e-12,pass
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,oot,auc,0.6821098791687363,0.6821098791687363,0.0,1e-12,pass
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,oot,gini,0.3642197583374726,0.36421975833747267,5.551115123125783e-17,1e-12,pass
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,oot,ks,0.2614113773044075,0.2614113773044076,1.1102230246251565e-16,1e-12,pass
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,oot,log_loss,0.6218347596872352,0.6218347596872352,0.0,1e-12,pass
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,oot,brier,0.2155384723561614,0.21553847235616144,5.551115123125783e-17,1e-12,pass
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,oot,lift_at_10,2.053531165222089,2.053531165222089,0.0,1e-12,pass
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,dev,auc,0.7745852274129656,0.7745852274129656,0.0,1e-12,pass
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,dev,gini,0.5491704548259313,0.5491704548259313,0.0,1e-12,pass
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,dev,ks,0.4085677394662613,0.40856773946626135,5.551115123125783e-17,1e-12,pass
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,dev,log_loss,0.5758204046196935,0.5758204046196935,0.0,1e-12,pass
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,dev,brier,0.1961693931901998,0.19616939319019988,8.326672684688674e-17,1e-12,pass
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,oot,auc,0.7026727974821897,0.7026727974821897,0.0,1e-12,pass
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,oot,gini,0.4053455949643794,0.4053455949643794,0.0,1e-12,pass
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,oot,ks,0.2891151273902709,0.28911512739027084,5.551115123125783e-17,1e-12,pass
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,oot,log_loss,0.5965700641639796,0.5965700641639796,0.0,1e-12,pass
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,oot,brier,0.2054638275204233,0.20546382752042336,5.551115123125783e-17,1e-12,pass
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,oot,lift_at_10,2.1812908096337376,2.1812908096337376,0.0,1e-12,pass
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,dev,auc,0.7309974526406897,0.7309974526406897,0.0,1e-12,pass
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,dev,gini,0.4619949052813794,0.46199490528137943,5.551115123125783e-17,1e-12,pass
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,dev,ks,0.3431096772146129,0.34310967721461283,5.551115123125783e-17,1e-12,pass
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,dev,log_loss,0.6090214839613152,0.6090214839613152,0.0,1e-12,pass
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,dev,brier,0.2093511674131751,0.20935116741317514,2.7755575615628914e-17,1e-12,pass
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,oot,auc,0.7351157546380288,0.7351157546380288,0.0,1e-12,pass
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,oot,gini,0.4702315092760576,0.4702315092760576,0.0,1e-12,pass
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,oot,ks,0.3486486044164585,0.34864860441645856,5.551115123125783e-17,1e-12,pass
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,oot,log_loss,0.6239628547408924,0.6239628547408924,0.0,1e-12,pass
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,oot,brier,0.215611563189898,0.21561156318989805,5.551115123125783e-17,1e-12,pass
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,oot,lift_at_10,3.0125488964599536,3.0125488964599536,0.0,1e-12,pass
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,dev,auc,0.9057156636817256,0.9057156636817257,1.1102230246251565e-16,1e-12,pass
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,dev,gini,0.8114313273634515,0.8114313273634515,0.0,1e-12,pass
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,dev,ks,0.6573848024608564,0.6573848024608564,0.0,1e-12,pass
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,dev,log_loss,0.4486552983321843,0.44865529833218437,5.551115123125783e-17,1e-12,pass
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,dev,brier,0.1437693707772932,0.14376937077729326,5.551115123125783e-17,1e-12,pass
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,oot,auc,0.759898780138256,0.759898780138256,0.0,1e-12,pass
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,oot,gini,0.5197975602765119,0.5197975602765119,0.0,1e-12,pass
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,oot,ks,0.3867577824395099,0.38675778243951,5.551115123125783e-17,1e-12,pass
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,oot,log_loss,0.5029163463310823,0.5029163463310823,0.0,1e-12,pass
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,oot,brier,0.1671309684608856,0.16713096846088565,5.551115123125783e-17,1e-12,pass
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,oot,lift_at_10,3.325030676403315,3.325030676403315,0.0,1e-12,pass
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,dev,auc,0.706136093354426,0.706136093354426,0.0,1e-12,pass
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,dev,gini,0.4122721867088519,0.4122721867088519,0.0,1e-12,pass
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,dev,ks,0.2989998364832318,0.2989998364832318,0.0,1e-12,pass
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,dev,log_loss,0.624735726265074,0.624735726265074,0.0,1e-12,pass
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,dev,brier,0.217198552565267,0.21719855256526704,5.551115123125783e-17,1e-12,pass
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,oot,auc,0.6859236290968351,0.6859236290968351,0.0,1e-12,pass
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,oot,gini,0.3718472581936702,0.37184725819367026,5.551115123125783e-17,1e-12,pass
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,oot,ks,0.2645449885398555,0.2645449885398556,1.1102230246251565e-16,1e-12,pass
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,oot,log_loss,0.611828774323815,0.611828774323815,0.0,1e-12,pass
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,oot,brier,0.2113408183234188,0.2113408183234188,0.0,1e-12,pass
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,oot,lift_at_10,2.0796105421776776,2.0796105421776776,0.0,1e-12,pass
fbv1-016-lendingclub_v2-catboost-mrmr-mutual-information-s42,lendingclub_v2,catboost,mrmr_mutual_information,dev,auc,0.749598226889557,0.749598226889557,0.0,1e-12,pass
fbv1-016-lendingclub_v2-catboost-mrmr-mutual-information-s42,lendingclub_v2,catboost,mrmr_mutual_information,dev,gini,0.499196453779114,0.49919645377911404,5.551115123125783e-17,1e-12,pass
